membership:pair_set_id	pair
ALL	5cdd3886-898b-4861-a748-d4164ce14a07_cca6b801-f735-420c-9bf3-a11fa35e56b5
ALL	daec3a82-e1f5-4d6f-87dd-90853e48bf29_68ea8887-401b-46d9-ae28-8bcbe624f1c6
ALL	80105f2a-438a-4d44-947d-3f5a50d6cab0_195dfb4a-fc19-413f-8266-f4825a5865be
ALL	0177791d-d02d-4433-81ae-458a93fdd60f_5cd94f2a-2d2c-4bdc-9168-74469cdb9956
ALL	b6fe1d5a-f1c0-470d-bf49-b5a13157d2c6_60dd5096-617d-4b56-8e93-908299f18c62
ALL	7c8b0e74-bd47-4c5c-99de-8484eca2b1ad_d3211210-e66a-4f57-ac80-4495ab4b9393
ALL	6f8b48ba-ef24-4d33-a0c3-bc900a6c8cd2_244bc31c-747c-4349-9992-03c506cf5d6a
ALL	31a140ce-bcb7-46b4-8105-626c9db1e183_4ba53544-fc05-4c94-865f-3a097b97cf0a
ALL	8d9f2037-1c1f-4c73-a993-dc4c2aa67d30_1401fc34-a96f-4a15-91c8-51c0e71383ed
ALL	e35fcfbe-0550-4a39-9996-5d178e3f40ef_c18162de-b83b-427f-8f8c-82dc85843fe7
ALL	5ce91cce-a4ac-45e1-bc3e-737494a67769_980dcd1e-4364-462e-b80f-f7e9918a82a4
ALL	8e666196-bf9d-4b71-9c66-ee9272b671a5_1f04aa1c-f8e0-4b90-9425-50a9c197cefd
ALL	06239773-a7e3-4262-9b5f-0105e3b1467a_52d054f1-e7c6-42e1-b161-1e04f2ee146a
ALL	6871927f-1488-4366-8545-439557a377aa_dbf66b14-c3ec-4a52-b8af-676eb437c14e
ALL	086eac10-6ea8-4cc4-a6e5-91f051e50c54_d4781553-3389-432e-a53a-775fcc7378f4
ALL	91657171-7e5e-4a81-9201-d0b2d5806c04_1591ef8b-c47c-40c2-81a2-09d33f191a72
ALL	250c0ab4-ef0f-4340-a86d-628b98f8acca_ce9be88d-b5e9-4210-b873-170d46b33fb8
ALL	2c66d45a-c014-4fbe-9ff2-4ca17ec59ba9_64cff150-f158-4fac-b382-bd4fef5d3996
ALL	f713031b-b8ee-4195-91b1-ac9cf63d76a4_2b4463bc-071e-4c65-9be7-9f57b815cb58
ALL	10cee689-473e-4b9b-bffd-313202835e34_4ba53544-fc05-4c94-865f-3a097b97cf0a
ALL	03115606-c46f-40ef-a95f-cdc1c174797d_639fc0fe-863a-4b3f-9462-a22941f13167
ALL	ed3f6393-6955-41af-bb3a-7723b5dbe41e_ceb5ed99-0121-46c0-bcdb-ee07ec915256
ALL	a76bc38a-9eef-4e6c-b021-f940ff5137b8_fca4ab43-915f-4385-8cf4-703747c60085
ALL	f0cf4acd-6b09-4538-b58c-e86c623b6c71_227a21ef-33d5-4981-9f0f-b48c75b090c8
ALL	8b5c7e4d-a220-4499-9e38-7deacc1776a2_9b7e6427-b290-43dc-8991-ea77384cdf3c
ALL	5de50617-0a03-45b7-8ffd-bcf3a0680d6b_aaca1df7-d409-4e6e-b592-f035409fcb27
ALL	d91ec6e8-cdea-41b8-a88e-252586d3b9ae_df241af0-f65e-43d5-a1d6-9178547bf6e9
ALL	7091b5bc-e61d-464d-8931-58d9dbec8cd5_83950ba9-05fe-46e3-9c91-1131165dfde5
ALL	a439dcc3-4377-449d-983e-f34f8e5741e3_3111c4e9-d440-448e-b183-78f309ff105f
ALL	9cbd4bd6-244b-4274-a230-a7bd02e79571_53f7cb7b-f3d7-4d70-8ade-2e323fb54231
