entity:sample_id	participant	submitter_id	sample_type_code	sample_type	tissue_type	tissue_type	sample_type	MethArray__Lift__methylation_beta_value__txt__drs_url	TissueSlide__msa__slide_image__drs_url	WXS__BWAMDupCoClean__aligned_reads__bam__drs_url	WXS__BWAMDupCoClean__aligned_reads__bai__drs_url	GeneArray__DNAcopy__copy_number_segment__txt__drs_url	GeneArray__DNAcopy__masked_copy_number_segment__txt__drs_url	WXS__MuTect2AggrMask__masked_somatic_mutation__maf__drs_url	WXS__MuTect2AggrMask__aggregated_somatic_mutation__maf__drs_url	WXS__VarScan2AggrMask__aggregated_somatic_mutation__maf__drs_url	WXS__VarScan2AggrMask__masked_somatic_mutation__maf__drs_url	WXS__MuSEAggrMask__aggregated_somatic_mutation__maf__drs_url	WXS__SomSnipAggrMask__aggregated_somatic_mutation__maf__drs_url	RNAseq__STAR2Pass__aligned_reads__bam__drs_url	RNAseq__HTSEQFPKMUQ__gene_expression_quantification__txt__drs_url	TissueSlide__tsc__slide_image__drs_url	RNAseq__HTSeqCounts__gene_expression_quantification__txt__drs_url	RNAseq__HTSeqFPKM__gene_expression_quantification__txt__drs_url	miRNAseq__BWAaln__aligned_reads__bam__drs_url	miRNAseq__BWAaln__aligned_reads__bai__drs_url	miRNAseq__BCGSCmiRNA__mirna_expression_quantification__txt__drs_url	miRNAseq__BCGSCmiRNA__isoform_expression_quantification__txt__drs_url	TissueSlide__tsa__slide_image__drs_url	TissueSlide__ts1__slide_image__drs_url	TissueSlide__bsa__slide_image__drs_url	TissueSlide__tsb__slide_image__drs_url	ATACSeq__BWAwithMarkDuplicatesandBQSR__aligned_reads__bam__drs_url	ATACSeq__BWAwithMarkDuplicatesandBQSR__aligned_reads__bai__drs_url	TissueSlide__bs1__slide_image__drs_url	DiagSlide__dx1__slide_image__drs_url	TissueSlide__bsb__slide_image__drs_url	TissueSlide__ms1__slide_image__drs_url	TissueSlide__bsc__slide_image__drs_url	TissueSlide__tsd__slide_image__drs_url	TissueSlide__ts2__slide_image__drs_url	TissueSlide__bs2__slide_image__drs_url	DiagSlide__dx2__slide_image__drs_url	TissueSlide__ts3__slide_image__drs_url	TissueSlide__msb__slide_image__drs_url	TissueSlide__bs4__slide_image__drs_url	TissueSlide__bs3__slide_image__drs_url	TissueSlide__tsf__slide_image__drs_url	TissueSlide__bs6__slide_image__drs_url	TissueSlide__bs5__slide_image__drs_url	TissueSlide__tse__slide_image__drs_url	TissueSlide__msc__slide_image__drs_url	TissueSlide__tsg__slide_image__drs_url	TissueSlide__ts6__slide_image__drs_url	TissueSlide__ts4__slide_image__drs_url	TissueSlide__bs7__slide_image__drs_url	TissueSlide__ts7__slide_image__drs_url	TissueSlide__ts5__slide_image__drs_url	TissueSlide__bsd__slide_image__drs_url	TissueSlide__tsh__slide_image__drs_url	TissueSlide__ms2__slide_image__drs_url	TissueSlide__tsi__slide_image__drs_url	DiagSlide__dx3__slide_image__drs_url	DiagSlide__dx4__slide_image__drs_url
8b0590bd-533b-4af9-8ba3-1793ef959826	17d9e646-6ab3-40b3-a0bc-2c834d3c3213	TCGA-AR-A0U1-01A	TP	Primary Tumor	Not Reported	Not Reported	Primary Tumor	drs://dataguids.org/7f94f486-9b29-4945-bbb9-eb4c8015ec83	drs://dataguids.org/ca705191-3885-4ab2-bf3e-7012ce4b7e87	drs://dataguids.org/8608afd0-d6c2-4917-acfa-51842c3ac653	drs://dataguids.org/8cced37b-2c89-466a-a634-699367e623e6	drs://dataguids.org/82778a2e-c000-4628-90e2-fed136021522	drs://dataguids.org/bbc9ca7a-8f01-4f8d-ba5a-323cba0d4d4b	drs://dataguids.org/995c0111-d90b-4140-bee7-3845436c3b42	drs://dataguids.org/053f01ed-3154-4aea-9e7f-932c435034b3	drs://dataguids.org/5a6c3396-8c49-4c25-8a86-7ae63a887c43	drs://dataguids.org/6c93f518-1956-4435-9806-37185266d248	drs://dataguids.org/cd0d1636-ae95-4141-94b3-8218eb3b8b25	drs://dataguids.org/f9ff49e9-31ce-4051-9157-4bf4b0c5859a	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__
52b84bbe-99c5-46af-a478-d474094c60e4	17d9e646-6ab3-40b3-a0bc-2c834d3c3213	TCGA-AR-A0U1-10A	NB	Blood Derived Normal	Not Reported	Not Reported	Blood Derived Normal	__DELETE__	__DELETE__	drs://dataguids.org/d2b9c666-f3b6-4d51-b2de-ef49ed341bf1	drs://dataguids.org/df9c87ec-401c-4d8d-b239-bb8bb0b4f284	drs://dataguids.org/80464539-190b-493b-ad7b-4934720e0783	drs://dataguids.org/35af714f-01d7-4145-8979-7907a8a85efa	drs://dataguids.org/995c0111-d90b-4140-bee7-3845436c3b42	drs://dataguids.org/053f01ed-3154-4aea-9e7f-932c435034b3	drs://dataguids.org/5a6c3396-8c49-4c25-8a86-7ae63a887c43	drs://dataguids.org/6c93f518-1956-4435-9806-37185266d248	drs://dataguids.org/cd0d1636-ae95-4141-94b3-8218eb3b8b25	drs://dataguids.org/f9ff49e9-31ce-4051-9157-4bf4b0c5859a	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__
58bfe278-a80f-4722-b286-4d966214d244	e4fc0909-f284-4471-866d-d8967b6adcbc	TCGA-E2-A14P-01A	TP	Primary Tumor	Not Reported	Not Reported	Primary Tumor	drs://dataguids.org/2eee1a8a-e7b1-481c-ac39-4d2c6c49183d	__DELETE__	drs://dataguids.org/21834b9c-547a-4d94-b3bd-b4ab2fe8a8ea	drs://dataguids.org/e9aa5885-695d-4edb-982f-447cc1b3a500	drs://dataguids.org/9f64ef8f-6828-4ae8-9e51-81d12041af61	drs://dataguids.org/5d6896af-ff76-4dd2-b3f1-0a96e888ff40	drs://dataguids.org/995c0111-d90b-4140-bee7-3845436c3b42	drs://dataguids.org/053f01ed-3154-4aea-9e7f-932c435034b3	drs://dataguids.org/5a6c3396-8c49-4c25-8a86-7ae63a887c43	drs://dataguids.org/6c93f518-1956-4435-9806-37185266d248	drs://dataguids.org/cd0d1636-ae95-4141-94b3-8218eb3b8b25	drs://dataguids.org/f9ff49e9-31ce-4051-9157-4bf4b0c5859a	drs://dataguids.org/90179e33-3a96-46eb-a678-e0b0b60596a7	drs://dataguids.org/a7dc453b-9326-4992-8885-98d487f0a482	drs://dataguids.org/4637e448-435c-4dd4-aa0e-1a3343a77a96	drs://dataguids.org/e436f0bf-b608-4535-8fe7-a0dd6462cee7	drs://dataguids.org/5963cf70-818d-416c-a38a-e09c785c689a	drs://dataguids.org/c3802561-995a-4e8a-98c6-2562737c69ec	drs://dataguids.org/014651db-824f-4574-8c31-c6531ac21fbc	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__
371ee0d6-5c89-4d9e-b57b-d22a0b86987e	2fd36838-5a83-433e-ac80-b1f77448e5aa	TCGA-5T-A9QA-01A	TP	Primary Tumor	Not Reported	Not Reported	Primary Tumor	drs://dataguids.org/153a12dc-f456-4e40-a882-11c89772f202	__DELETE__	drs://dataguids.org/5242df6b-4944-41a2-97af-f6d281c0c818	drs://dataguids.org/f8bc08f4-eb07-4b79-a40f-128721c341b5	__DELETE__	drs://dataguids.org/e75fd9f5-13d0-4c69-b9bc-4a3893aa4f4c	drs://dataguids.org/995c0111-d90b-4140-bee7-3845436c3b42	drs://dataguids.org/053f01ed-3154-4aea-9e7f-932c435034b3	drs://dataguids.org/5a6c3396-8c49-4c25-8a86-7ae63a887c43	drs://dataguids.org/6c93f518-1956-4435-9806-37185266d248	drs://dataguids.org/cd0d1636-ae95-4141-94b3-8218eb3b8b25	drs://dataguids.org/f9ff49e9-31ce-4051-9157-4bf4b0c5859a	drs://dataguids.org/b0eaece8-d2b7-42e5-bb0e-072ce5273ce1	drs://dataguids.org/36fe8f25-df82-4fb4-b90f-e666fd16d783	__DELETE__	drs://dataguids.org/c1762c7e-cebc-4380-a207-eec4dc44aa63	drs://dataguids.org/19e43fef-672b-4400-8aab-e28cd58b6318	drs://dataguids.org/b0f3f4ff-a96c-4821-b7b4-589bd5237518	drs://dataguids.org/d3abaf6b-f1c3-4aab-a567-c869eeff3e27	drs://dataguids.org/645d6a17-34c1-4af0-9786-55aad23f64e7	drs://dataguids.org/11727d4a-7803-4aa5-9510-4f16ba19116d	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__
cca6b801-f735-420c-9bf3-a11fa35e56b5	9fefbe7c-f66a-4940-843e-285cb7b392c1	TCGA-AR-A24Z-10A	NB	Blood Derived Normal	Not Reported	Not Reported	Blood Derived Normal	__DELETE__	__DELETE__	drs://dataguids.org/c2cf5f67-eff6-4bd1-b139-1f14c67e276d	drs://dataguids.org/44bfc266-5faa-4720-abff-fc7bc4e64cb7	drs://dataguids.org/b0654404-5f47-4797-b39c-4db61c94d9d0	drs://dataguids.org/90c3361c-8560-4b9b-837b-fbbf453ee6a9	drs://dataguids.org/995c0111-d90b-4140-bee7-3845436c3b42	drs://dataguids.org/053f01ed-3154-4aea-9e7f-932c435034b3	drs://dataguids.org/5a6c3396-8c49-4c25-8a86-7ae63a887c43	drs://dataguids.org/6c93f518-1956-4435-9806-37185266d248	drs://dataguids.org/cd0d1636-ae95-4141-94b3-8218eb3b8b25	drs://dataguids.org/f9ff49e9-31ce-4051-9157-4bf4b0c5859a	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__
5cdd3886-898b-4861-a748-d4164ce14a07	9fefbe7c-f66a-4940-843e-285cb7b392c1	TCGA-AR-A24Z-01A	TP	Primary Tumor	Not Reported	Not Reported	Primary Tumor	drs://dataguids.org/9e7a15d8-ec94-428f-ab8d-e6aa66b1fad0	__DELETE__	drs://dataguids.org/55a7eb1b-c30f-4297-8d1f-e20d514926fc	drs://dataguids.org/f57e3549-2e79-4cc4-bf73-d93ba55266b9	drs://dataguids.org/fcf0674f-dc1a-4a5f-930b-0eaa45b058dc	drs://dataguids.org/e5936284-41af-4317-ade1-cc8d11c8bef6	drs://dataguids.org/995c0111-d90b-4140-bee7-3845436c3b42	drs://dataguids.org/053f01ed-3154-4aea-9e7f-932c435034b3	drs://dataguids.org/5a6c3396-8c49-4c25-8a86-7ae63a887c43	drs://dataguids.org/6c93f518-1956-4435-9806-37185266d248	drs://dataguids.org/cd0d1636-ae95-4141-94b3-8218eb3b8b25	drs://dataguids.org/f9ff49e9-31ce-4051-9157-4bf4b0c5859a	drs://dataguids.org/0f384df2-24b4-4d69-b52f-b4e0b73e56b1	drs://dataguids.org/49abd5a4-9467-4566-9036-8b22a776be58	__DELETE__	drs://dataguids.org/19662bc7-e171-4a8e-b88a-4bd95c553b0c	drs://dataguids.org/05a734dd-0260-47ca-84a1-51f5b0d4711b	drs://dataguids.org/d21a58e3-92c0-4017-a0d0-a0e11bf616c8	drs://dataguids.org/3f95e5e0-1127-45a7-a100-c2d0c80f8e66	drs://dataguids.org/8d926fd8-ee4a-4edb-b875-cc3aaf96d1f7	drs://dataguids.org/b9a9bb92-11cc-45d1-9bb5-ee54e0df0059	drs://dataguids.org/ee5c67f4-b4c8-4116-bc01-d755f098a14b	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__
cb7c50bf-c1df-4b2d-939d-cbe1a4b7b667	523e24a2-51b9-4658-be2f-42e5fccebb17	TCGA-A7-A5ZW-01A	TP	Primary Tumor	Not Reported	Not Reported	Primary Tumor	drs://dataguids.org/6ec8e2af-2ed6-4fc8-937c-c617403c6e01	__DELETE__	drs://dataguids.org/63473c2a-fe14-4ed9-ab6e-c3113ee076f6	drs://dataguids.org/39cd0abb-e06f-4d54-808e-dba0a7c66015	drs://dataguids.org/99d983c9-442f-4625-bf93-e7b54eebe8d5	drs://dataguids.org/8ef228fc-5775-4ca4-9294-408119d7b49d	drs://dataguids.org/995c0111-d90b-4140-bee7-3845436c3b42	drs://dataguids.org/053f01ed-3154-4aea-9e7f-932c435034b3	drs://dataguids.org/5a6c3396-8c49-4c25-8a86-7ae63a887c43	drs://dataguids.org/6c93f518-1956-4435-9806-37185266d248	drs://dataguids.org/cd0d1636-ae95-4141-94b3-8218eb3b8b25	drs://dataguids.org/f9ff49e9-31ce-4051-9157-4bf4b0c5859a	drs://dataguids.org/14533d48-1b2d-42c2-9b92-5bbf20f6a242	drs://dataguids.org/0a0ba3c5-0443-4c81-83cb-7fb1ddcfd054	__DELETE__	drs://dataguids.org/3746f050-7275-426c-88e4-ba9f16e1c3ae	drs://dataguids.org/3dc80d15-e046-4d28-9a85-4ebd72f6987b	drs://dataguids.org/701a896e-de91-499a-af6d-da99a10f3592	drs://dataguids.org/2e24058b-4252-4579-85ab-f340a02677df	drs://dataguids.org/c9f05d9f-4146-48bc-a562-5bad1bcb7293	drs://dataguids.org/0e292f8c-e3a2-4e09-9241-9809d8db452c	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__
9dc315ce-3b76-4754-b103-2c2580cde4ab	9d95a65b-e41d-4f93-92d4-99dce29ff40d	TCGA-A7-A0CE-01A	TP	Primary Tumor	Not Reported	Not Reported	Primary Tumor	__DELETE__	__DELETE__	drs://dataguids.org/4288da4e-7e77-434b-a092-9450b0cb7833	drs://dataguids.org/aa5fba32-563b-449c-b92d-e634855916de	__DELETE__	drs://dataguids.org/7ede5415-d78a-4f3d-8c68-ead3abcefbd1	drs://dataguids.org/995c0111-d90b-4140-bee7-3845436c3b42	drs://dataguids.org/053f01ed-3154-4aea-9e7f-932c435034b3	drs://dataguids.org/5a6c3396-8c49-4c25-8a86-7ae63a887c43	drs://dataguids.org/6c93f518-1956-4435-9806-37185266d248	drs://dataguids.org/cd0d1636-ae95-4141-94b3-8218eb3b8b25	drs://dataguids.org/f9ff49e9-31ce-4051-9157-4bf4b0c5859a	drs://dataguids.org/14201682-0c8d-49c7-a5e1-7026e1a07b69	drs://dataguids.org/8157b53e-a731-447a-ae72-03b37da7f4e2	__DELETE__	drs://dataguids.org/79971a7b-a37c-4154-add6-d0781805cec3	drs://dataguids.org/f8cf629e-005c-4e67-9b34-244214476d1a	drs://dataguids.org/7740c7fd-dff6-40bf-b10c-acb6958f4fb4	drs://dataguids.org/5527edb7-0a4a-48bb-a464-d3e3d46e7ec9	drs://dataguids.org/73a1ad6d-17fa-4f62-9275-8c6a5c0c1f2d	drs://dataguids.org/2a86ab10-4cd3-47d3-8f09-f92165a6da71	__DELETE__	drs://dataguids.org/5fdd0d24-53d3-4e03-8ee0-f8873dd74e0e	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__
1bab00ca-778e-48ac-ac59-ce2b99d84403	1c40b84e-a0e3-429f-a48c-21566cf881c0	TCGA-D8-A143-01A	TP	Primary Tumor	Not Reported	Not Reported	Primary Tumor	drs://dataguids.org/eddade0a-e6d0-4f62-b063-fbabba1c71ee	__DELETE__	drs://dataguids.org/f46a8e4f-7191-457c-8fe9-69b6c4244c64	drs://dataguids.org/24e46acf-e0a8-44a0-8111-b1ea113276e2	drs://dataguids.org/3d339a67-7cc3-43fa-af1c-0dae4e485954	drs://dataguids.org/1e7ffb56-cf97-4853-aaee-7a402d21ce64	drs://dataguids.org/995c0111-d90b-4140-bee7-3845436c3b42	drs://dataguids.org/053f01ed-3154-4aea-9e7f-932c435034b3	drs://dataguids.org/5a6c3396-8c49-4c25-8a86-7ae63a887c43	drs://dataguids.org/6c93f518-1956-4435-9806-37185266d248	drs://dataguids.org/cd0d1636-ae95-4141-94b3-8218eb3b8b25	drs://dataguids.org/f9ff49e9-31ce-4051-9157-4bf4b0c5859a	drs://dataguids.org/68e555a7-7b7f-489f-b78e-d3adb879ced1	drs://dataguids.org/3ceb974b-992b-4be5-a2d0-2e1b733c75e6	__DELETE__	drs://dataguids.org/42afa501-db93-4611-ae86-14d6dd9e457c	drs://dataguids.org/b3e9d272-782e-418f-9069-cc81eb3bac77	drs://dataguids.org/6f718881-c513-4188-b082-b2bc9b001f4e	drs://dataguids.org/f7dbb1c4-203d-4e17-88da-205286f6366c	drs://dataguids.org/de750a3e-5286-44ec-a701-bcaa7a06e569	drs://dataguids.org/813b35dc-d0ed-43f0-93f7-abb9bb6f197a	drs://dataguids.org/5aac1954-ee75-4aa7-a95a-54ba98664cc9	__DELETE__	drs://dataguids.org/37bc44bd-a3aa-4538-8386-0b77185d2ffc	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__
c8b60ad6-26f6-43af-9bb7-ef3316bb693a	1c40b84e-a0e3-429f-a48c-21566cf881c0	TCGA-D8-A143-10A	NB	Blood Derived Normal	Not Reported	Not Reported	Blood Derived Normal	__DELETE__	__DELETE__	drs://dataguids.org/79e2c8a4-7421-410c-a10c-4b414996dec3	drs://dataguids.org/3d9e6acd-ddd8-460f-b0a5-b4b2cffb46f1	drs://dataguids.org/11077e99-7f00-41c6-94de-27ca98ef9247	drs://dataguids.org/43fb8427-7652-469f-bbd7-fcd48537a23c	drs://dataguids.org/995c0111-d90b-4140-bee7-3845436c3b42	drs://dataguids.org/053f01ed-3154-4aea-9e7f-932c435034b3	drs://dataguids.org/5a6c3396-8c49-4c25-8a86-7ae63a887c43	drs://dataguids.org/6c93f518-1956-4435-9806-37185266d248	drs://dataguids.org/cd0d1636-ae95-4141-94b3-8218eb3b8b25	drs://dataguids.org/f9ff49e9-31ce-4051-9157-4bf4b0c5859a	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__	__DELETE__
