membership:pair_set_id	pair
ALL	a8635b10-cbf2-461b-b459-e82e2aec4589_df4e0784-9a35-485c-9f04-abc8e0be3f9a
ALL	0c749ae7-1564-4ade-847f-376d21d1753b_e3f27889-fbb5-4990-b8d9-761b4adfd995
ALL	ff1f5513-8463-4b1e-b254-72d9e0863d35_90467e98-c885-467a-8fab-d180e1b4e70a
ALL	f1b2ca40-f20a-42de-aba2-4f730d7ccc09_a1fcb039-9fd7-4582-b99a-e4d302cbc6f6
ALL	5e797e09-26d0-42f4-838f-3b05e489e6ec_69cff594-84a3-4d68-9edd-025b7d540535
ALL	8537633b-6426-4b66-a2a3-fa942eedf01b_dda1ba9d-36a4-45ea-a100-8b9b8204a3ef
ALL	b1c51ce2-7843-4e68-8d53-dc9db433be7a_7ad3315f-735f-4bb0-996f-0be850c110bb
ALL	8f80047b-a700-413c-b228-6d170648e168_0af15c8c-8cd9-4fba-9810-63207b91eeb1
ALL	73b6994e-c9bf-41a8-a455-17d7be309a9f_955a8753-b2cc-4378-bbc0-4100f76e3609
ALL	be4bb915-7700-43e8-a640-ad77faf54f41_bed43651-8903-4697-a4dd-3f7738b70e2d
ALL	4cf1fa0f-6a00-4037-94d1-d5ce2012b2f5_c603cbad-f495-4000-a3de-cbd99b3c03d1
ALL	a08a26d6-153c-4e79-a4cc-dbbe1620dc8f_6caaa7a0-2865-4ec8-bb63-8e18b1e53703
ALL	47bf3623-a304-48a1-8651-71b6ed41d886_992ad30d-0bc4-49f7-a678-ddbdfabc998a
ALL	7bbba7d3-c921-4063-8a82-3496aa6b89d5_cbb4d259-1af3-4f91-b61e-836f4ed71c70
ALL	eb97d34e-7333-4e9d-b559-34dd6436c14c_5ce67e0c-5056-4af5-8156-72c26688e023
ALL	c281d8eb-0aaf-409c-b8d1-5681c8dc27be_1570547a-bae6-4680-a1dc-19d0b962cf60
ALL	76785e44-fd29-4077-8fbe-17214933e1be_66f30142-d723-4c1c-8f1d-069a974030ef
ALL	8816f14d-9fbb-4033-9ca4-6ca0db66161a_398a605c-0a45-4757-bc28-996816990576
ALL	0e53a06b-feae-46ab-9b7d-f1aeb31b499b_e0d7d736-04c6-4486-a412-e6c1bc512570
ALL	353ef4f3-1c2e-4f6c-a6c9-2e4404c62efe_4570935d-c394-4529-a5db-9b6342e39a07
ALL	b0f0ea02-b1da-4613-a9b0-d18a07910010_0abe6b1f-88da-4739-9f30-02d4c28159fd
ALL	9076c2ec-bc16-49a9-b9e4-da726de4f1f5_a76b2563-5d11-4a5c-846b-6b5a1539fca9
ALL	df310e3e-d633-4f03-af1c-861e453e22cc_707ad85a-c958-458e-b164-048254dddd0f
ALL	1a058e77-7c20-4f50-ac89-185067ea7437_8110d589-6a6d-45b8-9644-2db8b9bbc82f
ALL	ed37a5c0-341c-4ecc-8fb8-4b705e76e2af_778356ca-554d-418b-a73b-c8eb39ca0b17
ALL	41933a62-1325-4089-80b5-06e3ebb238da_775698af-8abc-408b-a47a-c00430b1224b
ALL	6f0e65b2-7ca0-4f10-8952-b64900009001_54f3dce1-f69b-44bd-bafb-17a6c937452e
ALL	88b3045c-bb2e-4ad6-adbb-b52fabb7b917_7a623c0e-85fd-49fc-a830-ce507426f529
ALL	1f464f7c-dc4d-4dc2-8623-55233b9f994d_35cc3db5-1c72-4d7a-8fa7-9ec1b40ef5f0
ALL	3048539a-b914-4e43-b1cc-43ea707e3b3d_28ca17ad-d2b5-4fb0-a89f-9b380a62b51f
ALL	4794413c-ed92-451c-a3ce-f411fed5ca82_de58de4a-fc31-4b3d-97fe-e63576d35428
ALL	801b8d05-2d29-4f8c-8d8d-634b2e21b867_62c770d8-da34-438e-9a89-59c48ee76805
ALL	40dd997d-cfdf-46f9-9c0a-f238b8d6f758_57975c93-89c0-47b0-96f2-6b117a9e1887
ALL	a73684e4-7cf1-4e9d-83b8-a6ebebd51101_d70e7a87-a1df-46d3-a794-d036c0d3d88f
ALL	066aaaaf-f945-4b04-9db5-d556f0c2bc08_571c2b5e-5854-4ab1-b187-9640361819f3
ALL	e2843875-a4de-4d90-bda2-0fbbc929757f_52bf3a80-1cc2-4d58-b5c5-d83c98958d62
ALL	25d55cf4-625f-485f-85aa-87adb72e685b_f146445b-207f-43d0-90f6-240f3bb31e3e
ALL	8c5799bf-db65-40f6-9a67-abd4da4025f2_70893cd9-ccf1-423b-b39f-884974a30ea4
ALL	f3db9b58-d60d-41f7-a3d7-6f713272efb5_2b34c8e7-8745-4af5-8f39-e3908bce3e8f
ALL	33754280-57c0-45b7-8f33-984ceb7ddffb_12f6d91b-016c-478a-99b9-904274685938
ALL	8fa7105d-aba3-49e4-bbc0-083c547f3449_b6b0c55e-2ead-42c7-a0f2-2a7cdf7f35d7
ALL	d4d5deb6-6cfb-4e25-9824-8f7dc8d5b451_8603228a-5f83-4b2e-a57b-dd3133cde96e
ALL	d8dce266-1073-4bf2-a714-748e7e942635_dd4b861c-0119-43d4-8312-1d61a17c23c5
ALL	47ddad9d-1e43-4961-a5d1-55882f68b446_7c9ea73b-4ca7-48a5-9ca1-39cc313d3335
ALL	f7c33a3a-f7e2-4827-97ea-b0a2921dec08_a411749e-9dac-4c44-9871-b999cbd59aea
ALL	6a3170a2-0064-44eb-a247-4712d6a85c9b_1643f83b-1314-4628-82a1-85f6793efd4e
ALL	65eb6269-3250-49d1-89e3-bbee5519bd45_f479d21a-7d6c-448d-94f4-a93584c0523f
ALL	a2252651-387d-49b8-947c-f9d1872b5822_cfb83df7-f87a-4a99-a05c-90a055aa4b24
ALL	a519f8a7-a83e-4e07-83aa-eed4bcd37266_e605a178-cf1c-43d9-adb2-6844b0053347
ALL	bb39734c-9d9c-4249-9d1b-176b28aba41c_d8b7e11f-c1a2-4db8-8453-9464f9e86178
ALL	c95acbd6-8dd8-49f7-8c0e-8c2aa4f3a72c_24c87fc0-4c58-4a70-8ba2-3fcfa2d00c77
