entity:pair_id	participant	case_sample	control_sample	tumor_submitter_id	normal_submitter_id	tumor_type	normal_type	WXS__SomSnipAnnot__annotated_somatic_mutation__vcf__drs_url	WXS__MuSE__raw_simple_somatic_mutation__vcf__drs_url	WXS__VarScan2__raw_simple_somatic_mutation__vcf__drs_url	WXS__MuTect2__raw_simple_somatic_mutation__vcf__drs_url	WXS__SomSnip__raw_simple_somatic_mutation__vcf__drs_url	WXS__VarScan2Annot__annotated_somatic_mutation__vcf__drs_url	WXS__MuTect2Annot__annotated_somatic_mutation__vcf__drs_url	WXS__MuSEAnnot__annotated_somatic_mutation__vcf__drs_url
a8635b10-cbf2-461b-b459-e82e2aec4589_df4e0784-9a35-485c-9f04-abc8e0be3f9a	88832340-46ad-449c-8f81-6a8e5b495510	a8635b10-cbf2-461b-b459-e82e2aec4589	df4e0784-9a35-485c-9f04-abc8e0be3f9a	TCGA-A6-6780-01A	TCGA-A6-6780-10A	TP	NB	drs://dataguids.org/4d263d7c-df46-4d07-b256-a789414c26ee	drs://dataguids.org/083d143d-c3b4-4ae7-96a8-33f59fe42462	drs://dataguids.org/8c082cd4-6225-41eb-aefe-714aa968aa24	drs://dataguids.org/22b8baf9-ea60-4ade-8f96-01647046aa9b	drs://dataguids.org/defe1200-7ca0-4edb-85e6-9c3dcb1f148c	drs://dataguids.org/3cd6a8ff-3047-4007-b089-94f9b677ebab	drs://dataguids.org/0934491d-5b53-48e9-9bc9-8baeab6bcadb	drs://dataguids.org/760382ca-00ee-41ef-8e33-f7fdc9eb3599
0c749ae7-1564-4ade-847f-376d21d1753b_e3f27889-fbb5-4990-b8d9-761b4adfd995	aedde4a5-6520-40b9-9721-c9b826490b7a	0c749ae7-1564-4ade-847f-376d21d1753b	e3f27889-fbb5-4990-b8d9-761b4adfd995	TCGA-CM-6166-01A	TCGA-CM-6166-10A	TP	NB	drs://dataguids.org/e24fdca6-be7f-4350-870a-9ae47d77e29c	drs://dataguids.org/019eb723-297b-4421-8d64-74d330c8d844	drs://dataguids.org/22629830-1657-480a-8dcd-7931b4c0d19a	drs://dataguids.org/fe0a1dd4-97f9-4a0d-b034-d7aad2223882	drs://dataguids.org/f1bf90db-273a-449e-b0de-7bafb59a2f1e	drs://dataguids.org/fef7d273-aa61-4d70-98b3-3a9c5caf7bc5	drs://dataguids.org/39afd44b-8a21-45aa-9c4a-2c53cc77e5e8	drs://dataguids.org/af9f8028-7a64-47c4-ba8b-e375ab5e6207
ff1f5513-8463-4b1e-b254-72d9e0863d35_90467e98-c885-467a-8fab-d180e1b4e70a	75c3004d-1ef4-49f9-86e0-1bb7b9553a3d	ff1f5513-8463-4b1e-b254-72d9e0863d35	90467e98-c885-467a-8fab-d180e1b4e70a	TCGA-CM-6168-01A	TCGA-CM-6168-10A	TP	NB	drs://dataguids.org/19b208f4-a9b4-4de6-ae8d-6de144f8adcb	drs://dataguids.org/e747965d-fc9c-4096-871a-61cefe1ba74e	drs://dataguids.org/b3a2958d-2844-415a-aa79-ff9502c6fdcd	drs://dataguids.org/5a515c9c-c20a-4853-a798-b0d74e204d99	drs://dataguids.org/1b87eb0b-a0e8-4e75-8b60-0e59cb91cd3e	drs://dataguids.org/8415fc88-1e9d-4ba4-8503-a3abfaadd19b	drs://dataguids.org/6802f7c0-b875-4dcd-9679-af90368c4314	drs://dataguids.org/312c970a-1534-4aea-b80e-753af65734f1
f1b2ca40-f20a-42de-aba2-4f730d7ccc09_a1fcb039-9fd7-4582-b99a-e4d302cbc6f6	b54865b6-824e-4163-b759-21a6eacc98ce	f1b2ca40-f20a-42de-aba2-4f730d7ccc09	a1fcb039-9fd7-4582-b99a-e4d302cbc6f6	TCGA-A6-6781-01A	TCGA-A6-6781-10A	TP	NB	drs://dataguids.org/d52e1b35-0127-4be6-a6fd-30b1c97f0b2b	drs://dataguids.org/88130642-7f0c-4dff-89be-3572abdc572d	drs://dataguids.org/e2a82ff4-bad2-44bc-9248-70d8b320c5bf	drs://dataguids.org/82f93b62-1714-4574-8f4a-a7fc86ed725f	drs://dataguids.org/2e062133-5ab0-42a9-bf20-da9262cd40a2	drs://dataguids.org/d44456e2-07d0-4b41-ac84-5fa52dcd2061	drs://dataguids.org/90936896-251c-47a6-844c-51069097f486	drs://dataguids.org/e5892364-59d8-4bdf-a64e-0db66d28c904
5e797e09-26d0-42f4-838f-3b05e489e6ec_69cff594-84a3-4d68-9edd-025b7d540535	01ad5016-f691-4bca-82a0-910429d8d25b	5e797e09-26d0-42f4-838f-3b05e489e6ec	69cff594-84a3-4d68-9edd-025b7d540535	TCGA-AA-3561-01A	TCGA-AA-3561-10A	TP	NB	drs://dataguids.org/2fee698d-fe87-48b7-a0e8-7c2a7eb8b5ab	drs://dataguids.org/9f92dce1-c618-4ae7-98e4-1f9d403b5f8f	drs://dataguids.org/b3d3db5c-bf6d-4603-9525-5d37fd34384d	drs://dataguids.org/7f9b1709-f5e1-4bb7-8ccb-965cda88783b	drs://dataguids.org/a9202888-2709-42b2-9945-b3fc93337c9c	drs://dataguids.org/e75428e9-dd1a-44a3-8253-24a028cdab11	drs://dataguids.org/500d8b9d-3bf6-4476-9a0f-200b1deeaacc	drs://dataguids.org/8c7b1e6f-df49-4986-a86f-503d4a8dae74
8537633b-6426-4b66-a2a3-fa942eedf01b_dda1ba9d-36a4-45ea-a100-8b9b8204a3ef	a435fdf4-a89a-499e-9006-cbb5693eab26	8537633b-6426-4b66-a2a3-fa942eedf01b	dda1ba9d-36a4-45ea-a100-8b9b8204a3ef	TCGA-AA-A02Y-01A	TCGA-AA-A02Y-10A	TP	NB	drs://dataguids.org/956952e9-310f-49a2-a33b-76b6ffb3c64d	drs://dataguids.org/61309c07-b763-41b9-856c-606243736791	drs://dataguids.org/4ee62a5c-c843-452e-92ce-906602348312	drs://dataguids.org/9e54ab35-c63f-408c-a66a-76d302b89141	drs://dataguids.org/723de4b8-0765-4137-8d74-8951d6704a60	drs://dataguids.org/9d7679bb-5426-4213-8a26-322b54aa4f10	drs://dataguids.org/b9936468-5083-4f30-a60e-08bcd3b2348e	drs://dataguids.org/5d9c7cef-fd5b-4f51-8c61-9a2577cd761f
b1c51ce2-7843-4e68-8d53-dc9db433be7a_7ad3315f-735f-4bb0-996f-0be850c110bb	86a9e44f-728e-48e4-9e1b-682b023f7c0a	b1c51ce2-7843-4e68-8d53-dc9db433be7a	7ad3315f-735f-4bb0-996f-0be850c110bb	TCGA-AA-3967-01A	TCGA-AA-3967-10A	TP	NB	drs://dataguids.org/58a40b72-96f1-4018-8310-abcbdd978209	drs://dataguids.org/f6eeb55f-d617-48f8-bbd2-42f3d3de8e15	drs://dataguids.org/25bae24c-0bee-43ae-9eec-40433428b063	drs://dataguids.org/a610856e-3880-49f9-b3a3-7a696e9074cc	drs://dataguids.org/6f1d1018-8dca-4de6-965f-a584cc91fcdc	drs://dataguids.org/67d1c7f8-08ac-4371-b09f-0afad7e0d524	drs://dataguids.org/b7a11263-6b46-4856-8767-9e52ebd98bbf	drs://dataguids.org/d1cb1043-0f9a-4766-bd21-cc8e3e7e356b
8f80047b-a700-413c-b228-6d170648e168_0af15c8c-8cd9-4fba-9810-63207b91eeb1	b823d6e5-54b0-43d3-95e2-9be33dc6f734	8f80047b-a700-413c-b228-6d170648e168	0af15c8c-8cd9-4fba-9810-63207b91eeb1	TCGA-DM-A0XF-01A	TCGA-DM-A0XF-10A	TP	NB	drs://dataguids.org/9991e5b7-ed20-4dfa-9c21-fa3dd040f469	drs://dataguids.org/718b98e2-d68d-46bc-9aef-d74a3dedec80	drs://dataguids.org/69229f13-82ee-4619-94a5-97f98420df6e	drs://dataguids.org/0ac273a6-fd84-4995-a681-44c6aea49f16	drs://dataguids.org/d9e5b1b8-6122-4f13-9458-64e04961ecc5	drs://dataguids.org/909c93be-5988-4e2f-8377-96680376b542	drs://dataguids.org/f5c217d2-823f-41c4-8c32-430489a95cac	drs://dataguids.org/6c6b8b00-b794-4ad6-a81b-2968156e4269
73b6994e-c9bf-41a8-a455-17d7be309a9f_955a8753-b2cc-4378-bbc0-4100f76e3609	49929108-023e-4d35-b26d-50ab4d3ae581	73b6994e-c9bf-41a8-a455-17d7be309a9f	955a8753-b2cc-4378-bbc0-4100f76e3609	TCGA-A6-2684-01A	TCGA-A6-2684-10A	TP	NB	drs://dataguids.org/25c4e277-274e-408b-a36a-7d34347c8cf7	drs://dataguids.org/8cd86918-ca0e-4c8c-84a1-62cf487e7b5f	drs://dataguids.org/fe302338-5573-4f01-955b-98e708b6d589	drs://dataguids.org/1c695c0e-2b12-432b-b2c8-a54091bad11f	drs://dataguids.org/c55a9f41-62bc-4f40-92bf-b1430d626b89	drs://dataguids.org/b951fb46-7e48-446c-bd6e-be009c9be08c	drs://dataguids.org/f3ff7dfa-c1e8-43d0-bb4b-e7b05235eeff	drs://dataguids.org/15681bcf-10b9-45de-bad1-8d395dce7d45
be4bb915-7700-43e8-a640-ad77faf54f41_bed43651-8903-4697-a4dd-3f7738b70e2d	d17a2ab0-faef-40de-a87d-1291868b200d	be4bb915-7700-43e8-a640-ad77faf54f41	bed43651-8903-4697-a4dd-3f7738b70e2d	TCGA-AA-3679-01A	TCGA-AA-3679-10A	TP	NB	drs://dataguids.org/4b632df1-b24a-4d6d-bbb6-a89c1603ce79	drs://dataguids.org/a2301c49-2720-4fce-ab6e-c20c23eb643f	drs://dataguids.org/6882937b-1cbc-4fab-a9d9-b8938753d491	drs://dataguids.org/09d194fe-33f7-433d-a1d1-108a4ea241f2	drs://dataguids.org/cfa703ec-c7b1-44c2-923d-d6e21e483772	drs://dataguids.org/309321dd-9a53-4f47-b3b3-584b08a945aa	drs://dataguids.org/b0e9f262-0a4b-4ecf-a426-ca40e0b447e7	drs://dataguids.org/6327cd41-b38f-4273-ace6-0f7b02f3658b
