membership:sample_set_id	sample
ALL	df4e0784-9a35-485c-9f04-abc8e0be3f9a
ALL	a8635b10-cbf2-461b-b459-e82e2aec4589
ALL	8db16195-8f0e-4343-a250-b59fa7ec562f
ALL	1a4d9d59-b0dc-4045-a832-9089d3bc1d52
ALL	e3f27889-fbb5-4990-b8d9-761b4adfd995
ALL	0c749ae7-1564-4ade-847f-376d21d1753b
ALL	63b2b3b9-7eb1-47b3-a3fc-1d385042fdca
ALL	5c7de7c6-7a72-4185-a72c-1d25d4ab07fe
ALL	0b6dfffe-43c7-47a7-82aa-fd9f7dec0f13
ALL	25291c5b-84ef-4228-b98c-9d3744d6e36a
ALL	90467e98-c885-467a-8fab-d180e1b4e70a
ALL	ff1f5513-8463-4b1e-b254-72d9e0863d35
ALL	f80aef75-2b96-4085-b388-fab93485f809
ALL	cb75f0af-85f7-4e0e-bfe7-1a44754f7fb6
ALL	0985b9ce-b40a-40e1-b965-c52d69bfe76b
ALL	04dd54d3-e4d1-4c72-860b-20e971609a5a
ALL	37f67d24-c447-4237-b49f-551b52bc905e
ALL	5ce13336-702f-4358-b74b-dba1cfb36077
ALL	d8dce266-1073-4bf2-a714-748e7e942635
ALL	a1fcb039-9fd7-4582-b99a-e4d302cbc6f6
ALL	f1b2ca40-f20a-42de-aba2-4f730d7ccc09
ALL	bfee6527-99cc-460e-879e-fa7a46e8e0d5
ALL	dc1ffda5-5b8f-4227-be04-321643f73731
ALL	370b9830-927a-4885-93ba-c262b42ead27
ALL	0ad869d1-24d5-412b-8058-154b97a65853
ALL	84f76542-6957-41bc-ab6a-e9e843ce3e0b
ALL	5191b678-f7e1-42f4-a995-aa6abe5fd976
ALL	69cff594-84a3-4d68-9edd-025b7d540535
ALL	5e797e09-26d0-42f4-838f-3b05e489e6ec
ALL	a657afdb-5322-454f-8dd7-8397291401c5
ALL	8ed957c3-4d09-4d1c-ad6d-d7e7b7fcc517
ALL	ec9fc2bb-859d-4a11-8a12-e109075eff8c
ALL	6ffcb083-9117-47d8-ae23-3123da263fa9
