membership:pair_set_id	pair
ALL	54c53f07-1492-49b6-83c9-bd12c86f95a8_ff0bc318-7af8-4f46-9706-72e22c373795
ALL	19521291-90a2-4865-9d3f-25973130d22e_50452b8a-dc52-4f25-a9aa-bb1bc0bbeb75
ALL	ac7ea2f0-a526-4b9a-8e81-2736ea38f53b_e13162b5-a8d3-434c-919f-d81309e29c89
ALL	94b6f384-a5a6-496b-96a6-633375885245_9487a81a-13f0-4e5c-946b-38767557f525
ALL	7044ece3-0be1-4176-9a99-594ad523040a_9cb8bc4a-2d7f-42de-839e-ceaf559eac9d
ALL	3190bd1a-a83a-45f6-959a-863bbae58ffe_7c23926c-217d-4923-b313-ad51e0306889
ALL	dab45009-9de8-47f2-886e-e90b02fd5075_960eb3e7-fc3d-40c5-9397-9d60c7b21f00
ALL	115d06a0-7ffb-4e2f-bc09-59ea55d12894_cf12c642-b9f8-4ef0-bd54-509536fe001d
ALL	5398667c-8d52-4ba0-80e0-e8376dc8c87d_0f7f7100-335a-4970-8a81-95a7086873fd
ALL	4a909120-daa4-465d-99cd-3bb795e82d26_defcc482-a626-4c8a-847a-a216f3f7dcf8
ALL	c74e9ed4-0417-4516-a208-f1b30bac856d_f53f4a73-b9a9-45b7-ab1d-af21825e9536
ALL	facef44e-2e8c-42fb-a4ff-fe106f61f6b4_bf76c183-28a8-49e6-9d76-93b4ee9e55ec
ALL	f04ad61f-0a09-45d3-9316-b5c2c217c039_d6dbe2d7-0761-4e7a-b934-470e3cd0445d
ALL	0d719f58-1572-4d51-9360-8ced507c4f94_cfd1bfcd-f159-4dfc-8ca4-20be1854c4b5
ALL	5012c42c-3fbb-4e0a-abbb-78dcc6e03d9a_30086a3a-8727-4533-a29e-72096eff8dbf
ALL	df02d506-6c4f-46e8-8db8-2f53674d977f_714463c4-bdcd-4979-836c-ace5a58a4553
ALL	fbbe6305-d9ea-490d-bdf5-276877a16ed4_3faf361a-59ec-4983-9653-f53d65f93efc
ALL	b89a4d5d-ee24-4052-b454-b67169328737_2e71f2fc-5dbc-4d21-935b-c1a0e9294f5f
ALL	e0f7dc52-3547-4fd1-8565-47fd606b80de_95a6ee65-ecb4-46de-9b46-f72d527e94b8
ALL	f592d028-d302-4c96-9ef8-732a19762e22_3a244b0d-6f78-4e85-a108-df5b276b6534
ALL	7790fa3d-c06f-4c74-b180-ca6d4f53dc7d_06966748-4f99-4e84-a76f-41e2b181129f
ALL	8ec66a52-ec71-4a78-86db-e5e3f477a139_ccb165f8-bb4f-43b6-8ef4-faf4ea368f08
ALL	c108edc7-c8db-4219-8625-1d3452b73435_5c59bf0f-50c8-48a8-92cd-c4b76750aa15
ALL	d13412e3-4493-4cf0-9254-0ea24168df42_b74adbea-da4f-4484-bc83-eb7e88032358
ALL	d0da8033-af36-4886-ada2-d482406c7475_18b914ed-ce47-40e7-99e6-92405264c10f
ALL	fbe2b3fc-ff04-41af-8cd5-580ce5371c87_db386f40-b4a5-499d-98cc-861ceab5b9f0
ALL	82c23e47-9e17-4e18-a28b-438d244fc406_5176c91c-6464-4c4d-8dec-f19763afb002
ALL	780ab49c-29cb-445a-9d1d-89c733ff9f2f_250e66dd-592a-480e-9cd3-23a01c26090b
ALL	7cfddae2-aa56-485b-9dd7-b3b235abae2c_325014a0-86e8-4bd0-b822-01c680196f52
ALL	ebe1773e-b2be-49bd-9871-5a457648e1f4_2390261f-1004-4f49-b56b-5c3d176a7478
ALL	143e54ae-a4f2-4bc2-987d-5c5ec01ecaf2_195f3484-6479-4964-b428-59ced370df98
ALL	6e8d83f2-70bf-44f0-bd64-64d9dfe26f02_0244faa4-54df-47c7-b53b-6cccdeb8ae9f
ALL	09a0a6b2-8858-42ed-897f-7526097c24fe_d3f1bfc3-6d6c-4443-ae80-5a9ca7ccdb0c
ALL	7df0fcc2-19a0-4ffa-84d8-6622163b2e74_fc317fd3-7075-4ceb-b970-53dafa8ea1de
ALL	ca58399b-994e-4094-bb12-e80372e6db53_4d0646c1-8dd2-4d87-91dd-8ef81919678a
ALL	aa964b0b-a7db-434a-9ade-a264a3068801_c5f663bd-dbad-469c-a6ff-7e899fe68d50
ALL	8bfcdbef-692a-4ca8-bfdc-afe7ae85acff_652ae0ec-8fc4-465e-9a31-a171304c71fb
ALL	15e8851a-ea08-4cf5-84a3-86fd47b60258_074a1516-3adc-41d0-84cb-2a5b13c44469
ALL	87f7c7d4-533a-401d-aca4-5e36ee815109_651bf40b-94b9-4de6-a31f-bf21ee76f5b6
ALL	5e47a5d6-c797-427b-8d9a-c3af999f4b77_fb5563ca-fc5a-41e3-86a8-7c23c64794ed
ALL	df38504c-e5ae-4833-920f-0e6f2bfba10c_177c3479-a6e5-4e0c-8b0a-2c2e46735263
ALL	a21b0170-9c95-40f3-bef5-b6f01293cda9_91632583-292f-4c39-9bc3-702b5ae6f8fe
ALL	35ced632-741e-470a-b978-d4d4528c28ed_6e042d50-3e9f-4e77-8d14-3d4c2a03fb7b
ALL	07da260d-ef04-4a23-bdad-5ceb98a673ca_f64d61ac-b8b7-44a8-a5c4-adfff2940ff3
ALL	fcec6dd2-da99-4011-ab05-d45ce9522c49_555dd344-9160-438f-a6ea-d5f17e07f56b
ALL	900e10bb-2654-4eec-8ac7-8d4e3667ef34_4d4daca8-ab6f-475a-9fea-44e573d32a8f
ALL	5e3d4695-0d4f-446e-adfa-abd03eecb96d_a2bf1950-1933-47d0-8092-6c7da9205784
ALL	7e60ae30-8cb7-4bb7-8ef6-11368fa453a8_32c85f4f-340e-45ee-8bc8-3b6af5f172e8
ALL	ca82204b-7b81-44bf-8d4d-5b3e60c7ae4a_dbad43a1-1959-4ce0-a900-3a5d58a5d692
ALL	ec82c19a-1b5e-4726-a953-ff8c94903cc7_fab03652-f173-43c3-a233-b2e175d0e25d
ALL	e9b25d13-8caa-4bd7-b8f3-55ca889a2ef2_540986e9-a6ae-4b39-b359-bb1237d56ab8
ALL	c286faa9-5ea2-487d-8d17-651be5988c04_3fde39e1-5b2a-430c-959b-9b824280ff37
ALL	05af6829-05d2-4086-9d3c-9cb11c5a18b6_a928ad62-e24f-4c75-b1dc-dc944bff56c1
ALL	28b6c591-a167-4fcc-9bf4-f36175d4b3c5_6381f344-b123-40de-81b0-ea89ed218500
ALL	a9196f1a-832e-4c10-8b35-0263150957e0_37c809f3-4530-465c-9dcb-b771f41ffe80
ALL	61eb01aa-45c2-4973-97c2-aadaf498771a_8fa8bf61-b194-49bf-9b26-03402d0c2924
ALL	88cc87ee-9cc4-4886-94dd-ce3acdc5270e_fdaea4da-c8c9-4c0f-9db4-e3368d2ae39b
ALL	cba96ed9-c028-401e-8a8f-909513c8c215_001a9bb8-8a78-440c-bcc2-02c6058b1c6d
ALL	645fc875-7186-4f2f-b8cc-872413bd98b8_4f6c734b-d4f5-441f-8977-b6de07aa7a8f
ALL	90f74516-fb74-4d3f-9d73-5d2bee2ed381_1aa635e0-959f-49dd-b8d1-eb294648830e
ALL	673a0dc8-4bed-43df-9fb0-36fb546a5e58_46e72d1b-3d05-43f7-a3f6-2da21acaa5bd
ALL	07a25e6a-953b-4015-8933-cd84d820efda_b50152b2-4aea-495d-8fec-bcbb73b42970
ALL	dc3739dd-87b5-432d-b9a2-9fc5c3fe8725_161bfb72-9554-4509-9cb0-d1124465dce1
ALL	a4e4c022-1786-44b2-81c1-d773f0ffaa00_d921b6d5-bcf3-4b08-93c3-8dc04fb64ef7
ALL	b165944b-a5dd-4471-9f9a-de0150debeb6_212c1d5d-d554-4e29-b5d0-1d250f4772c5
ALL	53576d9b-d84c-40ac-8a82-ac6bc81180a2_ee0cba71-5097-4e3e-a865-b4ba9bc9e15e
ALL	12486342-a0ca-4497-b2e0-2b7dc2124598_81a3ff9f-ff58-481d-b1fa-7582aaf45a63
ALL	0bc8fe6e-0d2a-4c45-9af8-6a976b9a0327_d4cbc03a-0b46-4eaf-ab5e-a288579779fc
ALL	80c8329e-efa3-445a-8bbf-eb5fdce573b3_33a3aee7-bdbb-497a-b0a0-112c17280ac6
ALL	fb1c5358-6f5c-4a4c-8500-82985af8ef94_6e185d6c-a8a9-410e-b8a8-72453b1806dd
ALL	dcdf3271-86c8-49e3-8d97-4b2ca0a6b29f_8dc1b3da-a308-4bb5-95d6-f2f633df414a
ALL	affada32-8c38-4623-924f-c7265b02e75e_f69c5e99-e677-436f-9908-3893126667a9
ALL	7af6d7a5-b550-42d9-983a-241ec76fd7f4_c0f5dcc8-3d08-45a5-8d12-5fc67c5d5dc3
ALL	7701303e-eec6-4cb4-bc98-9d2cd7d49c14_cb59d0b3-c8b7-4712-b521-b464176d1ba6
ALL	b197df53-4163-4122-ac27-de06297bd452_66f31755-6e00-4a66-a21e-e5f8f4a17ff7
ALL	f9d8d0d1-81d5-4ce2-8f01-83c5ae0acc90_8cea223d-73e5-4f8d-b310-a238a563945b
ALL	735793ad-9884-44bb-bd9c-5bd339764473_ad49e59c-f74f-4d60-b06c-ec51d1c18fd3
