membership:sample_set_id	sample
ALL	7d09c8d7-f317-4f89-8501-857cecd949f8
ALL	7edf452c-4f07-4aa9-95f1-e0a1ac1fb65a
ALL	f035dbeb-9ed9-43ce-8411-6ba26a707254
ALL	c0cfc2f4-b828-42c9-9388-4ed05f503b54
ALL	ff0bc318-7af8-4f46-9706-72e22c373795
ALL	54c53f07-1492-49b6-83c9-bd12c86f95a8
ALL	5739bcd5-23b4-4a94-94e0-0ca261179f85
ALL	b8cc25ba-578a-4b6f-8f7a-6286450c879e
ALL	a673c985-74b1-450b-8e1e-69238fd221aa
ALL	0891b35d-7efc-412e-8beb-ae131d2fea3c
ALL	78d2ef0d-0ef6-49c4-833b-a17950613bec
ALL	fa2ffd04-215c-40fc-a8d0-53aeeeb04fea
ALL	f3a8f5c7-2209-4b84-bdb1-36b89b87ab63
ALL	fecd0938-26d7-4b61-8c6b-1b0d1dbb4867
ALL	f2729cca-4da0-4df1-96b8-531f3fa44c43
ALL	7ef2b4b6-6756-49bc-b3db-b1df8ce7e85e
ALL	50452b8a-dc52-4f25-a9aa-bb1bc0bbeb75
ALL	19521291-90a2-4865-9d3f-25973130d22e
ALL	8ec66a52-ec71-4a78-86db-e5e3f477a139
ALL	ff4195cc-e15c-4e9d-9caa-f74d7f0681d9
ALL	e6ef14d5-f260-4183-bccc-659c03a6db29
ALL	c01952d4-ae81-48e2-8818-0e438e66b516
ALL	67c18463-8e95-4501-9feb-190d421f0f47
ALL	76d1d52a-3381-43a2-8415-ac3561af9b51
ALL	31ae7ffc-24f7-46c0-8581-6ff90d942f58
ALL	ceb0bdca-5175-4c4a-afb4-96910db7a528
ALL	2311898d-6a92-4be9-9787-11500a722b7c
ALL	6da1271f-ae25-4301-84be-6468e9b494f9
ALL	3c3727be-0343-4782-a0eb-e7f50d2f6874
ALL	778716ef-64b5-4ef5-80fc-9aeaa9c656a0
ALL	df402570-d498-43b0-be96-35627a2a0684
ALL	46c31ffb-160d-4705-a7ca-6b3393054d8c
ALL	ad7bb206-4bad-4d3e-9db4-c76514398ec9
ALL	e13162b5-a8d3-434c-919f-d81309e29c89
ALL	ac7ea2f0-a526-4b9a-8e81-2736ea38f53b
ALL	fbe2b3fc-ff04-41af-8cd5-580ce5371c87
ALL	68819a2d-5f7f-4fda-b15a-27a0b22cf17b
ALL	a1f1e403-7984-4819-a969-d3a16594fe37
ALL	373fc9c5-1d99-467e-8c81-4d6197236258
ALL	25ffc19b-8d1d-434b-b760-e7037b674b05
ALL	5b9265d4-db71-4389-bdbb-a1f2850373eb
ALL	6099154e-1e40-4f66-982c-23101871a778
ALL	30177d07-90bd-4b83-a1c7-20ae83e40eef
ALL	9487a81a-13f0-4e5c-946b-38767557f525
ALL	94b6f384-a5a6-496b-96a6-633375885245
ALL	64619003-b363-4d42-adda-ee2e0bd2ba8e
ALL	9cb8bc4a-2d7f-42de-839e-ceaf559eac9d
ALL	7044ece3-0be1-4176-9a99-594ad523040a
ALL	7c27c5af-70f3-43cc-90c6-9d4f29d829c9
ALL	0aa374d7-f838-494e-9293-2471086adc5b
ALL	7c23926c-217d-4923-b313-ad51e0306889
ALL	3190bd1a-a83a-45f6-959a-863bbae58ffe
ALL	101c1510-edde-4b3c-b9e9-e947c7bcf54e
ALL	4a048c2c-8d98-4b74-a4bb-d283376cdaea
ALL	1a3bae5a-677d-4763-b019-ba26e0134929
ALL	45498d61-5f06-418b-a108-0c3d09f662a0
ALL	bba90991-19f4-4f17-8a9c-6f1339de2ad2
ALL	d8a3471a-2c49-47a1-81ab-1da6d202ab3d
ALL	3c83ded3-3515-4071-8788-6e8bf2c2a173
ALL	391ed390-b513-411d-8ebd-4e3991086fef
ALL	960eb3e7-fc3d-40c5-9397-9d60c7b21f00
ALL	dab45009-9de8-47f2-886e-e90b02fd5075
ALL	115d06a0-7ffb-4e2f-bc09-59ea55d12894
ALL	18b914ed-ce47-40e7-99e6-92405264c10f
ALL	045f17c6-0ad0-4608-a148-79d68c8f9e44
ALL	ffce0e9f-6d3b-4a68-b402-8806f1efae1e
ALL	698e00f4-a344-4583-aa6e-57806c2505f1
ALL	c0d7f94d-320a-4421-a245-cd82208ef43a
ALL	79deccb0-6902-464b-9159-05afdb508933
ALL	d90c750f-ff7f-4b5e-ae23-631b75bf5158
ALL	f2479cf0-a367-4dda-9c1d-47b31b8a7cb7
ALL	20b4a700-c105-4294-a64f-8594c96de6a4
ALL	ffdde853-060b-44e4-8d4b-46b5c2ce506b
ALL	1bf99d0e-ee8b-40a8-b279-db2f06a9b188
ALL	4a5f5b61-e22e-43cd-a1ed-be369762426f
ALL	68cc6361-0710-41cb-83da-40323be64d3f
ALL	cf12c642-b9f8-4ef0-bd54-509536fe001d
ALL	0f7f7100-335a-4970-8a81-95a7086873fd
ALL	5398667c-8d52-4ba0-80e0-e8376dc8c87d
ALL	f63a617a-6770-4ebf-beeb-003927df53df
ALL	defcc482-a626-4c8a-847a-a216f3f7dcf8
ALL	4a909120-daa4-465d-99cd-3bb795e82d26
ALL	c9a9f667-b9fa-4326-86cc-e78aa1324da5
ALL	a849c0eb-a412-4920-8297-e46b4d79fe28
ALL	2cfc4464-d39f-4d11-b938-98243c389075
ALL	865bde5d-235f-4ad9-a463-40f57394c5fa
ALL	42939615-b7f6-4c29-bc6c-b4521e188031
ALL	63d346d4-f58b-43cd-8324-accf6ff57386
