membership:pair_set_id	pair
ALL	9ddc30ef-891d-4bfc-a1df-d5a2539b4376_e4f642b1-151a-4998-bbb2-ad6fe860e349
ALL	101490e4-190b-4f9b-87c7-f2f18d6e3580_7765c8b3-8b0e-4d1a-8d04-ef6f67156665
ALL	a4ec3a58-c289-4052-aee6-d234c236522d_aeb505c2-095f-494a-923b-f2ab2af2173e
ALL	a1f24fc5-19a7-474c-952e-940f92734c02_326f4883-ed3b-43a7-a324-86f807f861f4
ALL	2de4b908-16e1-46cb-aeb2-1e84f91bcc52_6e16f975-e8e6-4cc8-8b06-11a513dc4aed
ALL	35c747c0-38bb-4d2e-a428-8e24106adfab_8ad3b90e-4da4-419a-8646-63acfce7521d
ALL	0b6dfb9c-90a6-4f46-a44b-28b889aec62a_543ee2e4-d43f-4b80-9583-6203b32048c3
ALL	6a303a96-83cd-448e-a6bc-dbdaa754294d_98512ed2-db82-4fa7-a7b6-9a2c3e7696e4
ALL	212717dd-25f1-4c76-a648-b8a7d65caecf_94aaf874-be6f-48fd-8ec7-40a8078ca890
ALL	32d4f183-4346-4250-9739-3b9e4ca2253f_ef8c8ccc-0b1b-481d-9b48-fd7f22c03d26
ALL	9ebc412b-6e78-4bc6-9e18-e6c75a92756a_558b4a05-61bb-469a-80be-4ad2cb3352d8
ALL	8dea410d-98af-4aa0-a3c1-ecd853570265_62b22012-7e2d-40a8-8b38-ab96a04a5403
ALL	3de5b87e-b12f-446c-aa04-6c20370de727_aef315e1-2082-40d7-824c-fd231ad01ee0
ALL	154211f4-73d9-4f3d-9f52-d1a8fe3bc828_932cc5ad-5e99-41f5-b8b4-5b6c4f74ff57
ALL	605e86ac-58f6-47d4-8bde-15eb23c857cc_8bc4aac8-1e5a-41fe-8142-95cd1768d629
ALL	18c3a1de-b145-437f-a4ee-16fc58f83a61_32522e89-58da-4e47-bec2-15695464bf16
ALL	46b491fa-e812-4b1c-b4a9-8bf51df3f17f_00f6e0ab-d171-4553-ac84-c6c806bd9887
ALL	1bcb3bf2-6472-495f-949b-48e2d3b373a3_f2540f5a-5018-4ba3-93f6-12f0ed0da2d8
ALL	623f02d1-b14f-47fa-a3b6-78202e183644_19519db7-1e78-4726-bb82-e5c9106e16be
ALL	75e6cd5f-d328-40da-bfbd-ae4210ef627b_b452c033-4893-4c22-922f-6a56dad70a1d
ALL	7072fcd9-6859-4c92-8fab-ee06a32ae46a_cddbc1c0-b10f-4410-8c77-e85696573267
ALL	545da2ec-6a9a-4009-8d4f-0bb2935b1bca_e842c87e-854d-4f9a-8a8d-4dbe4c06b5d3
ALL	36701941-06ee-4ecf-bdcc-8646c214e507_dfc09464-ed8c-479b-9b73-c7760a5ed6bd
ALL	8d017d5d-56d3-4e26-908c-9f5aa0a4de1b_b934131d-658d-447e-bdac-eba789daa8d0
ALL	1163c261-5527-4c07-a73c-452be675d69b_76f09da6-eb87-467d-a12f-14195e471512
ALL	326583ce-d99e-466b-89d9-f01a08c8cb16_7eab715a-9eb5-4ab3-99a0-4ae694a01e1b
ALL	160ff432-c910-41a8-93e5-dd87cb7de2ee_1120c901-e15b-4b8c-bada-b97d68cb9d59
ALL	05ebbf3e-eaf9-466e-84d3-ffcca04fb430_56aebbf3-a045-4bf5-9e67-aacf2bf714db
ALL	775ea8fb-db72-4941-8b70-a0191dbf71b7_40731335-9c8c-4a14-9b83-a97bc06c0c0e
ALL	99d1b651-9a37-415e-987e-31c69a4c4716_17140cd2-f357-4bb1-8227-404752dd3c05
ALL	9942475f-b99a-4eb1-a251-a4f4c6bc8a90_a283a214-8f88-4c9e-ac5c-60c5d26b11ca
ALL	9d51827e-be2a-46a7-a2d0-995ad0f7512b_b2308746-e77d-4ea5-bc9b-45f985520073
ALL	5a24db32-051d-488e-ad06-31f202a1e1f1_faddde4d-acf2-4097-9130-ae4ce0393f7f
