membership:sample_set_id	sample
ALL	ab1a73f5-611a-44f9-925b-c07b791887af
ALL	7be0587d-fbc8-4a57-97cb-18e4774d031c
ALL	8530c572-07e1-4c59-9820-4699e2e2d5b3
ALL	0aba1c71-192e-4ecd-b711-e813ba484e6c
ALL	068bfe4d-341c-49f7-b7a9-5d070de00ab3
ALL	009e66cd-fcdf-4a91-a2d8-7b9485ca29e1
ALL	b48f69f1-9023-4bab-9e28-e2e871cbbe7d
ALL	41d07c22-cb1e-40dc-9e02-5fd269eaf103
ALL	e98b63c1-84b9-453c-b38e-b7e123e18b7e
ALL	8333f4a8-9e49-4e14-badc-f247c6841eba
ALL	5286469a-a1bc-4f94-8471-3ffb6260417c
ALL	e4f642b1-151a-4998-bbb2-ad6fe860e349
ALL	9ddc30ef-891d-4bfc-a1df-d5a2539b4376
ALL	509069c7-21fc-41fb-80dd-99f1bcdde5a8
ALL	6373192e-42f6-4230-bb23-21ddd47ea604
ALL	b1f0f178-7de1-4498-9401-3786b767e320
ALL	605e86ac-58f6-47d4-8bde-15eb23c857cc
ALL	5306e996-869d-4cee-a990-dea934af0cb8
ALL	8235f4da-715b-476e-8adb-53fb8104a68a
ALL	8c64ec6b-5c6c-4a9b-914e-fb604f873ecb
ALL	7519d7a8-c3ee-417b-9cfc-111bc5ad0637
ALL	76ba82be-5259-4879-8133-cba41041bb03
ALL	a75c92b2-c67b-42b5-a8c2-7eea1b567ed0
ALL	68763efe-e612-4e17-ab19-d469815379e8
ALL	1a560183-4557-4a3b-8af0-a10ce8399f9e
ALL	09fff3f4-075e-45fd-bf47-c94a9ccf0e3b
ALL	7e554c48-3c69-4948-9c84-3fff46b9d3e2
ALL	f7d03cd3-2d55-400a-bb29-f86ccae475ec
ALL	7765c8b3-8b0e-4d1a-8d04-ef6f67156665
ALL	101490e4-190b-4f9b-87c7-f2f18d6e3580
ALL	6cadc656-be2f-4225-b0d1-3fe70c5a5fdd
ALL	8e0fab88-bc44-4bcf-8efc-91b5b181205a
ALL	d79852aa-d241-475e-9c38-6852f8a2ff1e
ALL	60ad6615-67f1-426a-a74f-19dedaed2a7e
ALL	86e4862c-7405-40b5-b73f-be0c6c52ea6d
ALL	76aabfdf-b5d2-4a8c-a7b2-5575cb8e0961
ALL	a1f24fc5-19a7-474c-952e-940f92734c02
ALL	ebe0c149-a7ff-4463-bb2e-55443620ae27
ALL	3f99a36c-b4ca-4022-9f8f-84d7ef7ae217
ALL	55654f9e-2de3-49ce-9156-6f6d9290de05
ALL	18e2feb8-5c4e-4de9-8946-8872f1712182
ALL	1bcb3bf2-6472-495f-949b-48e2d3b373a3
ALL	faa44b90-3705-4d16-9e44-70238892ca13
ALL	c677da58-ed7b-43ae-b49b-7a7046f828b1
ALL	9aef1e69-b9c9-4523-899b-06fb297d1ab5
ALL	a9947b6c-dbc7-4ba5-af61-7647e11e2973
ALL	a2db597f-7fac-4d27-af2c-1f31b37520ab
ALL	e17b07be-9e48-4235-8f25-b3a3929ee61b
ALL	261e7ec8-d65a-47fb-996a-5235bfb877cf
ALL	08a6a045-6b58-40d2-ae0d-e0aaf7779985
ALL	00c4d8f0-aeed-4c26-b8db-bb3883dad965
ALL	ce672a2c-93cf-418a-bcdd-670ce7cc6738
ALL	45ff8c0e-f7a1-4f97-b8b6-5692937cc5b1
ALL	7fb7ea59-1f6b-4289-9111-17f11b24d0b4
ALL	fc0f8559-5051-4428-8835-9922ab36bda5
ALL	f2b36ca3-8d5d-453d-b445-82faa22a8a35
ALL	d662aeb3-ea40-4642-b726-6b8556557e95
ALL	eab2c452-8263-4351-9150-7b51f84066c3
ALL	8bc46a09-7328-42e0-ad97-e557ec81048e
ALL	aeb505c2-095f-494a-923b-f2ab2af2173e
ALL	a4ec3a58-c289-4052-aee6-d234c236522d
ALL	6fc94822-85d4-43ff-87dc-0775840a15b4
ALL	b08dce6a-d561-41e2-ad8f-cdb9d02e7efe
ALL	545da2ec-6a9a-4009-8d4f-0bb2935b1bca
ALL	18223fc1-a5a8-4007-9696-728f8c302a23
ALL	1e3b6c37-67c3-4618-ae44-80cc69696db1
ALL	451a08a8-11fb-40cd-9759-61d36af70a57
ALL	e4ec1484-4f77-4520-9ff5-bc4dc8a0fb15
ALL	7f989eb7-0544-43e3-8e76-ac038de76666
ALL	46b491fa-e812-4b1c-b4a9-8bf51df3f17f
ALL	ad002a3d-f8e6-46ec-a7fe-7f4b71f4b43a
ALL	38aca442-4b0d-42e3-a20c-b844f1134a3c
ALL	8cd8aaa5-7244-4392-bc49-5d42ab2404ab
ALL	0c8ff168-a5ba-40ed-b2b0-b58c9b9959b7
ALL	326f4883-ed3b-43a7-a324-86f807f861f4
ALL	e58c8e96-ac76-40cf-9c82-a9ab9e590e46
ALL	4249cccf-a338-49f1-a007-8cc003e5fbc0
ALL	b934131d-658d-447e-bdac-eba789daa8d0
ALL	11480ec0-8ed8-46b7-bbe8-e06c86e19b81
ALL	6e16f975-e8e6-4cc8-8b06-11a513dc4aed
ALL	2de4b908-16e1-46cb-aeb2-1e84f91bcc52
ALL	3876608c-ec7c-4b8c-830c-f87c25353605
ALL	4964dcd0-781d-4600-8f87-8179829d0c35
ALL	cb781dcc-029a-4497-86f7-69960412d6de
ALL	dbf6a676-4878-44dc-bc8f-74e2afc21972
ALL	56c6e5e0-c731-4dbc-a470-fd91e0c83af7
