membership:pair_set_id	pair
ALL	7150c48b-144f-40f0-b4d0-e4b34e35556d_1cd21304-55fc-4aa6-9245-81c5141a47e5
ALL	3dc8ee96-f075-4761-947b-6532fb72b10c_589fc8ac-f124-4310-8c6f-f513e3452b79
ALL	a3d8fe02-63fa-40ff-9563-38e8d2bf04bb_0e88ffa1-8cb6-4672-8522-4361ea7bd783
ALL	595f73d9-f31f-4498-bb36-1504a9f280bd_810cc064-a39a-4065-8c8e-5bcd4cfaaf39
ALL	e4ccc95d-79ca-49e3-8cd0-c8452c5f9aa2_c03a3ead-1860-4fbc-990c-d13c479f3f0a
ALL	dd8556f8-461a-468d-8604-c4f2366b1cd7_2119f90f-9efd-4712-9480-58510b3b5e4d
ALL	c5e0f807-1495-4f61-9195-29488d77d9ea_72ef0fb9-470d-43f0-a9d4-c817ab98d5a8
ALL	efc25de9-e672-4b44-9003-5b277a47a625_9fc74039-249b-4507-a33f-2ebba6787bbf
ALL	b1893596-d585-4d0f-a70d-7c2bf18479cf_9fa95a6f-a0bc-46c7-9492-98ac1d630788
ALL	61ef4d54-bfa5-4d62-89bc-2717eabc741b_8f17944d-3a5c-43d9-b26b-9f1c7e0f2ed7
ALL	ed537d83-388b-4125-8c8c-204a0bcbcde8_a75cc4f8-4a86-4887-9fee-aef9b95dfc43
ALL	e14eecdb-9843-4549-917b-ee1e3d77025d_3d2248d8-b9e2-45f5-a778-835328528a77
ALL	930f0074-f5ea-408c-9efa-11762eb4551a_4363220e-0cf6-43bc-9982-dbf07d905aa5
ALL	6ff303cc-7d1d-41e5-a839-9f163ba04989_d3f047d6-6532-4a3e-a508-dd1f8d1c90e9
ALL	1f60c05e-f171-4815-b0da-40aa1b24f300_35de4a50-30d7-4ac6-bf08-bdfd95c8c135
ALL	62043d1b-2c38-4c45-abd0-97ff2f77176b_3454edaa-695c-4203-879e-6f3de83b4eb9
ALL	98f6fcfd-df24-422f-a14d-144fd1a02849_47a394d2-3039-48bc-a8f1-3e5daa5c6942
ALL	f2e6f90f-6117-406d-8106-2ef4b37e19d2_52251e62-0c54-45d6-9159-adb0640f3f48
ALL	a2530fac-9d42-4fbe-881b-e9bad5a2d793_c0a54de1-adcd-489b-81f7-13647a56c44a
ALL	165c9bb7-bd84-4d18-b1ec-eb346c7fb499_aa821a05-7a2f-43ee-9d10-96bb6824b132
ALL	9f88d3b0-edc0-4fca-a4a9-4d8aacedf9a7_b3a84226-479d-425e-8b61-0e3ba8ab8f2a
ALL	ac9c5b5e-8e14-4a76-a68d-78a8349c40f7_ad48908e-5088-4386-a9b5-4912da72f84e
ALL	3231d01a-e80c-46a1-8c9c-3492dca9f250_c6fd0a2f-c0d8-4c2f-8a34-ef6384bfbc28
ALL	04c9a370-2813-4104-98c7-4948d27dacb3_c3521ffb-392b-4818-9e6e-d0fc36670795
ALL	4b2b6e5e-248c-46f6-938a-95571577e02d_0276787c-0e07-4452-9eae-54e2778617d7
ALL	2d9d04a0-dd74-49f0-958d-80076449c9a5_80cd52e2-bcdd-4448-ab39-5ea7484ab0c5
ALL	a0c48680-3caf-49bd-b495-c9fd3a9cbe76_0a0de14f-f9ea-44ce-ad92-836f43ef7908
ALL	443b9ac6-d6fe-48a6-bb53-f6f5a56d2f2f_0d543fcb-ab00-432b-9586-a8cabc714911
ALL	13f9890c-e405-4625-888e-496eee30dfb4_982ff31c-f8ae-45cc-9369-885ab731394a
ALL	f46d6e67-40ef-4a8c-99fc-700d8e598131_58959d3a-1d8a-4a11-8b32-fedf1cfb53ab
ALL	1fa2d0a4-26a3-4b7b-818b-e20cc200a0ed_d030d7a0-0840-45e4-890e-587f856f82ef
ALL	d900cebf-8795-4385-8f57-77209178ff43_6672a1ff-0c2c-4abf-b6b9-38f698179593
ALL	7d811a29-b303-453e-9c0e-91ae12907510_52b61241-f08a-440e-a1f1-3d0967f7d632
ALL	bfc06061-2299-4785-9943-67f5ec9ebe3f_c24ae833-72a5-4d74-97c1-06409a3d5f11
ALL	68d9544c-08ca-4d6b-99cb-fb94caea6f7c_36ef0925-e9b3-4565-a5f9-f50878845f2d
ALL	7cb799d4-b69f-4cac-b975-1df91396250a_64c5e193-9a0e-43cc-b189-e26c964a24ea
ALL	57eba0e7-69f3-4567-b9cf-91aeadc06192_486a0b8b-e837-4b59-9677-7f4cb91e0799
ALL	f21ac7ce-b8b2-4c44-be65-4c4abf8a86c4_a713dcf5-b24e-49fe-9b50-a9f69b91e3d4
