membership:sample_set_id	sample
ALL	1cd21304-55fc-4aa6-9245-81c5141a47e5
ALL	7150c48b-144f-40f0-b4d0-e4b34e35556d
ALL	63567a34-2805-4e08-b18c-15e19d18c86b
ALL	145c1cbf-1d36-4439-896b-afabfcc8d864
ALL	1315b393-9071-4117-a395-f3b12db20c1e
ALL	eaf742ea-5bdc-4f44-a390-77cba766d260
ALL	4fb10554-1573-44d5-99dd-d7abef42e373
ALL	424254f5-1bdf-43ed-b867-33a73a3c919f
ALL	930f0074-f5ea-408c-9efa-11762eb4551a
ALL	53a563ba-4896-4064-abc4-5470a0ceb80c
ALL	acf63e27-2980-4215-881e-0b48efbd03ac
ALL	1f60c05e-f171-4815-b0da-40aa1b24f300
ALL	b6eb7ad6-2676-416e-b165-0cf683116793
ALL	fb634d39-a4fe-493e-a982-2e360e69cbd2
ALL	bcd16bf3-0877-4e4b-b70b-7d6a497af7ac
ALL	bffd965b-885f-4914-b25b-a993338acaad
ALL	a6fdfc35-a178-4d5a-8e07-346b55dd936d
ALL	9983a90e-9f72-4fe0-9d3b-62d25d3356ee
ALL	74826da0-ddc4-49b0-bcb5-591691f4f8d6
ALL	ce295a4d-c748-4f21-8564-91c42936a8e9
ALL	897a5467-5e46-4370-b805-d651dd579def
ALL	98f6fcfd-df24-422f-a14d-144fd1a02849
ALL	c845066f-9a5b-4db4-9ca5-75c1998c8e9f
ALL	deac0f80-013b-479a-b839-c49958477b96
ALL	782164d9-0804-48f7-bb97-a35ebfb0c372
ALL	589fc8ac-f124-4310-8c6f-f513e3452b79
ALL	3dc8ee96-f075-4761-947b-6532fb72b10c
ALL	a0300830-9dd9-46bc-94c0-23b2e8703e25
ALL	890fdee1-d4a1-4b22-9062-9d515dbdd867
ALL	b2f596ea-10ad-4a17-aea3-88756fb0b7f9
ALL	db9720f0-d7ef-469c-ae11-e8f17488126b
ALL	4ee39504-ac69-4dd7-b8a4-8d1cc3c20418
